Gene	sgRNA	L6_F1|beta	L6_F1|z	L6_F1|p-value	L6_F1|fdr	L6_F1|wald-p-value	L6_F1|wald-fdr	L6_F3|beta	L6_F3|z	L6_F3|p-value	L6_F3|fdr	L6_F3|wald-p-value	L6_F3|wald-fdr	L6_F4|beta	L6_F4|z	L6_F4|p-value	L6_F4|fdr	L6_F4|wald-p-value	L6_F4|wald-fdr
KMT2B	6	0.069749	1.2103	0.29897	0.86486	0.22617	0.79856	0.087543	1.5189	0.20619	0.90909	0.12878	0.59484	-0.017635	-0.30599	0.74227	0.98958	0.75961	0.93024
KMT2C	6	0.22173	2.3489	0	0	0.018828	0.36527	0.18519	1.9617	0	0	0.049796	0.55709	-0.069272	-0.73387	0.37113	0.98958	0.46303	0.76125
KMT2D	6	0.11992	1.6474	0.082474	0.53333	0.09948	0.79856	0.091829	1.2614	0.17526	0.90909	0.20716	0.71767	-0.059849	-0.82215	0.41237	0.98958	0.41099	0.73981
KMT2E	6	-0.030243	-0.69618	0.31959	0.86486	0.48632	0.84035	-0.024076	-0.55418	0.62887	0.97938	0.57946	0.85268	-0.034875	-0.80273	0.5567	0.98958	0.42213	0.74034
BCL6	6	0.026809	0.63074	0.76289	0.98901	0.52821	0.84552	0.0079413	0.18682	0.8866	0.97938	0.8518	0.91805	0.089029	2.0942	0.072165	0.46667	0.036242	0.24168
EZH1	6	-0.057902	-1.3559	0.15464	0.78947	0.17512	0.79856	-0.028215	-0.66067	0.59794	0.97938	0.50882	0.82044	-0.070613	-1.6534	0.35052	0.98958	0.098248	0.39223
EZH2	6	-0.013241	-0.2758	0.63918	0.98901	0.7827	0.94902	0.052015	1.0833	0.49485	0.97938	0.27868	0.73059	0.0097261	0.20256	0.84536	0.98958	0.83948	0.9468
JARID2	6	0.042278	0.91583	0.57732	0.98901	0.35976	0.79856	0.034327	0.74355	0.60825	0.97938	0.45715	0.81522	0.084157	1.8228	0.10309	0.625	0.068336	0.35662
DOT1L	6	0.0020211	0.036411	0.81443	0.98901	0.97095	0.97095	0.0092647	0.1669	0.86598	0.97938	0.86745	0.92464	-0.035332	-0.63647	0.54639	0.98958	0.52447	0.78267
EED	6	0.0075639	0.23564	0.92784	0.98901	0.81372	0.95019	0.023212	0.72305	0.6701	0.97938	0.46965	0.81522	-0.0083005	-0.25855	0.81443	0.98958	0.79598	0.93024
SUZ12	6	0.050712	0.97672	0.49485	0.98901	0.32871	0.79856	-0.044559	-0.8582	0.43299	0.97938	0.39078	0.7986	-0.033865	-0.65221	0.56701	0.98958	0.51426	0.78267
AEBP1	6	0.031191	0.94742	0.71134	0.98901	0.34342	0.79856	-0.03898	-1.184	0.46392	0.97938	0.23642	0.73059	0.055363	1.6814	0.30928	0.98958	0.092678	0.39104
AEBP2	6	-0.018416	-0.31636	0.53608	0.98901	0.75173	0.92301	0.03834	0.65857	0.56701	0.97938	0.51017	0.82044	0.026869	0.46151	0.63918	0.98958	0.64443	0.88042
RBBP4	6	-0.075484	-1.7157	0.041237	0.4	0.086223	0.79856	-0.020853	-0.4739	0.65979	0.97938	0.63557	0.86383	-0.028522	-0.64817	0.60825	0.98958	0.51688	0.78267
PHF1	6	-0.0177	-0.43192	0.56701	0.98901	0.6658	0.89645	-0.066881	-1.6319	0.23711	0.95833	0.1027	0.56603	0.056684	1.3829	0.30928	0.98958	0.16669	0.50511
EP300	6	0.22058	2.1001	0	0	0.035718	0.49495	0.20792	1.9795	0	0	0.047764	0.55709	-0.11963	-1.1391	0.13402	0.72222	0.25467	0.60251
ASH1L	6	0.07834	1.5932	0.24742	0.85714	0.11111	0.79856	0.077109	1.5681	0.2268	0.95652	0.11686	0.56678	0.047536	0.96667	0.37113	0.98958	0.33371	0.72985
EHMT1	6	-0.067428	-1.1172	0.082474	0.53333	0.26389	0.79856	0.036901	0.61135	0.57732	0.97938	0.54097	0.84248	0.07204	1.1935	0.17526	0.78261	0.23268	0.57557
EHMT2	6	-0.028434	-0.51569	0.3299	0.86486	0.60607	0.88679	-0.0067722	-0.12281	0.84536	0.97938	0.90225	0.93509	0.11244	2.0389	0.020619	0.25	0.041464	0.25137
PRDM2	6	-0.09574	-1.4807	0.030928	0.375	0.13867	0.79856	-0.10624	-1.643	0.17526	0.90909	0.10038	0.56603	-0.045291	-0.70039	0.46392	0.98958	0.48368	0.78195
NSD1	6	0.005381	0.087214	0.90722	0.98901	0.9305	0.95019	0.02627	0.42573	0.64948	0.97938	0.67031	0.89068	0.0015831	0.025655	0.95876	0.98958	0.97953	0.97953
SOX9	6	-0.17303	-1.1372	0	0	0.25547	0.79856	-0.54245	-3.5659	0	0	0.00036262	0.017587	-0.55165	-3.6261	0	0	0.0002877	0.013954
PROM1	6	0.0045785	0.77503	0.89691	0.98901	0.43832	0.81764	-0.0042622	-0.72143	0.90722	0.97938	0.47064	0.81522	0.013871	2.3477	0.80412	0.98958	0.018892	0.18642
KRT20	6	0.52235	2.5321	0	0	0.011339	0.36527	0.39758	1.9273	0	0	0.053947	0.55709	-0.18874	-0.9153	0.030928	0.27273	0.36004	0.72985
LRIG1	6	-0.0029136	-0.31942	0.75258	0.98901	0.74941	0.92301	0.017508	1.9193	0.76289	0.97938	0.054949	0.55709	0.026171	2.8687	0.63918	0.98958	0.0041212	0.099939
CTRL0001	1	0.0025222	0.10012	0.98969	0.98969	0.92025	0.95019	-0.0049995	-0.19835	0.94845	0.97938	0.84277	0.91805	0.03031	1.202	0.79381	0.98958	0.22937	0.57557
CTRL0002	1	-0.009195	-0.99817	0.89691	0.98901	0.3182	0.79856	-0.0017675	-0.19175	0.97938	0.97938	0.84794	0.91805	0.0038778	0.42056	0.98969	0.98969	0.67408	0.90813
CTRL0003	1	0.0034304	0.12599	0.97938	0.98958	0.89974	0.95019	-0.0014096	-0.051749	0.97938	0.97938	0.95873	0.96872	0.033107	1.2149	0.75258	0.98958	0.22442	0.57557
CTRL0004	1	0.011099	0.22751	0.90722	0.98901	0.82003	0.95019	-0.043391	-0.88914	0.61856	0.97938	0.37393	0.7969	-0.043808	-0.89729	0.68041	0.98958	0.36957	0.72985
CTRL0005	1	-0.019442	-0.86112	0.84536	0.98901	0.38917	0.79856	-0.017175	-0.76032	0.85567	0.97938	0.44706	0.81522	0.01064	0.47082	0.97938	0.98958	0.63777	0.88042
CTRL0006	1	0.0030149	0.11351	0.97938	0.98958	0.90963	0.95019	-0.0072286	-0.27203	0.92784	0.97938	0.7856	0.91805	0.031568	1.1874	0.76289	0.98958	0.23506	0.57557
CTRL0007	1	-0.0057054	-0.15483	0.89691	0.98901	0.87695	0.95019	-0.037539	-1.0183	0.65979	0.97938	0.30854	0.7876	-0.02749	-0.74536	0.7732	0.98958	0.45605	0.76125
CTRL0008	1	0.011248	0.87997	0.90722	0.98901	0.37888	0.79856	-0.0029772	-0.23279	0.96907	0.97938	0.81593	0.91805	0.0095322	0.74501	0.97938	0.98958	0.45627	0.76125
CTRL0009	1	0.0099931	0.57028	0.91753	0.98901	0.56848	0.87529	-0.01901	-1.0843	0.85567	0.97938	0.27822	0.73059	0.00068897	0.039281	0.97938	0.98958	0.96867	0.97953
CTRL0010	1	-0.016752	-0.83115	0.85567	0.98901	0.40589	0.79856	-0.01842	-0.91336	0.85567	0.97938	0.36105	0.7969	0.0013691	0.067858	0.97938	0.98958	0.9459	0.97953
ROSA26	10	-0.00821	-1.2905	0.50515	0.98901	0.19689	0.79856	-0.0031969	-0.50247	0.91753	0.97938	0.61534	0.85268	0.02057	3.2329	0.53608	0.98958	0.0012253	0.039617
CCR5	10	-0.0017214	-0.26025	0.63918	0.98901	0.79467	0.95019	-0.004297	-0.64961	0.91753	0.97938	0.51594	0.82044	0.0017585	0.26585	0.8866	0.98958	0.79036	0.93024
AAVS1	10	-0.0032709	-0.46531	0.62887	0.98901	0.64171	0.88679	-0.0092171	-1.3112	0.78351	0.97938	0.1898	0.7081	-0.0013715	-0.19509	0.93814	0.98958	0.84532	0.9468
EGFP	6	0.53444	2.408	0	0	0.016041	0.36527	0.42546	1.917	0	0	0.05524	0.55709	-0.20167	-0.90909	0.020619	0.25	0.3633	0.72985
mKate2	6	0.075169	0.34192	0.25773	0.86207	0.73241	0.92265	-0.96666	-4.3993	0	0	1.086e-05	0.0010535	-1.0033	-4.5657	0	0	4.9788e-06	0.00048294
