Gene	sgRNA	L4_F2|beta	L4_F2|z	L4_F2|p-value	L4_F2|fdr	L4_F2|wald-p-value	L4_F2|wald-fdr	L4_F3|beta	L4_F3|z	L4_F3|p-value	L4_F3|fdr	L4_F3|wald-p-value	L4_F3|wald-fdr	L4_F4|beta	L4_F4|z	L4_F4|p-value	L4_F4|fdr	L4_F4|wald-p-value	L4_F4|wald-fdr
CTRL0001	1	0.016112	0.43437	0.95876	0.98969	0.66402	0.93509	0.03307	0.89111	0.68041	0.98969	0.37287	0.77043	0.027243	0.73414	0.7732	0.98936	0.46286	0.75575
CTRL0002	1	-0.010179	-0.76508	0.71134	0.95294	0.44423	0.93509	0.0050278	0.37771	0.91753	0.98969	0.70564	0.88275	0.01085	0.8151	0.89691	0.98936	0.41502	0.75575
CTRL0003	1	-0.0065583	-0.41964	0.73196	0.95294	0.67475	0.93509	0.0057393	0.36708	0.91753	0.98969	0.71356	0.88275	0.016555	1.0588	0.85567	0.98936	0.28969	0.75037
CTRL0004	1	-0.014335	-0.4512	0.6701	0.95294	0.65185	0.93509	-0.024146	-0.75966	0.83505	0.98969	0.44746	0.77043	-0.02874	-0.90424	0.70103	0.98936	0.36587	0.75037
CTRL0005	1	0.013903	1.0364	0.97938	0.98969	0.30002	0.93509	-0.0035305	-0.2631	0.98969	0.98969	0.79248	0.9009	0.0065959	0.49153	0.95876	0.98936	0.62305	0.82676
CTRL0006	1	0.0072114	0.96774	0.86598	0.96552	0.33317	0.93509	0.00081477	0.1093	0.95876	0.98969	0.91296	0.9659	-0.0012718	-0.17061	0.95876	0.98936	0.86453	0.94484
CTRL0007	1	-0.0088496	-0.35618	0.72165	0.95294	0.72171	0.96467	-0.019807	-0.79688	0.8866	0.98969	0.42552	0.77043	-0.022221	-0.89401	0.74227	0.98936	0.37132	0.75037
CTRL0008	1	-0.0073379	-0.40916	0.72165	0.95294	0.68242	0.93509	-0.018645	-1.0392	0.89691	0.98969	0.29869	0.77043	0.0089666	0.49973	0.95876	0.98936	0.61727	0.82676
CTRL0009	1	-0.0063695	-0.26635	0.73196	0.95294	0.78997	0.96519	-0.023402	-0.97823	0.86598	0.98969	0.32796	0.77043	-0.017397	-0.7272	0.7732	0.98936	0.4671	0.75575
CTRL0010	1	-0.0022128	-0.17192	0.79381	0.95294	0.8635	0.96519	-0.0088271	-0.68553	0.95876	0.98969	0.49301	0.77132	0.012038	0.9348	0.8866	0.98936	0.34989	0.75037
ROSA26	10	0.011151	1.7234	0.76289	0.95294	0.084813	0.93509	0.010245	1.5834	0.85567	0.98969	0.11333	0.64666	0.022169	3.4262	0.56701	0.98936	0.00061213	0.013804
CCR5	10	0.0043366	0.67984	0.98969	0.98969	0.4966	0.93509	0.002961	0.46417	0.97938	0.98969	0.64252	0.88275	0.014494	2.2721	0.72165	0.98936	0.023081	0.20353
AAVS1	10	0.0092542	1.4668	0.81443	0.95294	0.14243	0.93509	0.016684	2.6443	0.71134	0.98969	0.0081858	0.26467	0.016695	2.6461	0.6701	0.98936	0.0081425	0.087758
EGFP	6	-0.16758	-0.81853	0	0	0.41306	0.93509	-0.80276	-3.9226	0	0	8.7584e-05	0.0042854	-0.8781	-4.2912	0	0	1.7771e-05	0.00086191
mKate2	6	-0.048439	-3.0165	0.16495	0.95294	0.002557	0.24803	-0.035312	-2.1989	0.49485	0.98969	0.027885	0.50239	0.0053772	0.33483	0.91753	0.98936	0.73776	0.8622
